+,Ahora,no,cerrarás,el,sobre.,Ahora no romperás el sobre.,b,l
+,Ahora,no,cerrarás,la,guantera.,-,-,l
+,Ahora,no,cerrarás,la,fiambrera.,-,-,l
+,Ahora,no,cerrarás,el,cofre.,-,-,l
+,Ahora,no,cerrarás,el,armario.,-,-,l
+,Ahora,no,cerrarás,el,candado.,-,-,l
+,Ahora,no,cerrarás,la,cancela.,-,-,l
+,Ahora,no,copiarás,el,resumen.,Ahora no copiarás el resumen.,v,l
+,Ahora,no,copiarás,la,carta.,Ahora no copiarás la carta.,v,l
+,Ahora,no,copiarás,la,redacción.,Ahora no copiarás la figura.,b,l
+,Ahora,no,copiarás,la,postal.,-,-,l
+,Ahora,no,copiarás,la,frase.,-,-,l
+,Ahora,no,copiarás,el,documento.,-,-,l
+,Ahora,no,copiarás,el,informe.,-,-,l
+,Ahora,no,copiarás,el,dibujo.,-,-,l
+,Ahora,no,copiarás,el,email.,-,-,l
+,Ahora,no,guardarás,el,pergamino.,Ahora no guardarás el pergamino.,v,l
+,Ahora,no,guardarás,la,tarjeta.,Ahora no guardarás la tarjeta.,v,l
+,Ahora,no,guardarás,el,título.,Ahora sí guardarás el título.,b,l
+,Ahora,no,guardarás,el,anillo.,-,-,l
+,Ahora,no,guardarás,los,mocasines.,-,-,l
+,Ahora,no,guardarás,el,puzzle.,-,-,l
+,Ahora,no,guardarás,el,cargador.,-,-,l
+,Ahora,no,guardarás,el,regalo.,-,-,l
+,Ahora,no,guardarás,la,baraja.,-,-,l
+,Ahora,no,apretarás,la,plastilina.,Ahora no apretarás la plastilina.,v,l
+,Ahora,no,apretarás,la,esponja.,Ahora no apretarás la esponja.,v,l
+,Ahora,no,apretarás,el,tornillo.,Ahora no tirarás el tornillo.,b,l
+,Ahora,no,apretarás,el,esparto.,Ahora no apretarás el acelerador.,b,l
+,Ahora,no,apretarás,la,tuerca.,-,-,l
+,Ahora,no,apretarás,el,barro.,-,-,l
+,Ahora,no,apretarás,la,tecla.,-,-,l
+,Ahora,no,apretarás,las,esposas.,-,-,l
+,Ahora,no,apretarás,el,nudo.,-,-,l
+,Ahora,no,agarrarás,el,bolígrafo.,Ahora no agarrarás el bolígrafo.,v,l
+,Ahora,no,agarrarás,un,clínex.,Ahora no agarrarás un clínex.,v,l
+,Ahora,no,agarrarás,la,brocha.,Ahora sí agarrarás la brocha.,b,l
+,Ahora,no,agarrarás,la,rosa.,Ahora no tirarás la rosa.,b,l
+,Ahora,no,agarrarás,el,bocadillo.,-,-,l
+,Ahora,no,agarrarás,el,martillo.,-,-,l
+,Ahora,no,agarrarás,las,uvas.,-,-,l
+,Ahora,no,agarrarás,el,flotador.,-,-,l
+,Ahora,no,agarrarás,las,llaves.,-,-,l
+,Ahora,no,atarás,los ,zapatos.,Ahora no atarás los  zapatos.,v,l
+,Ahora,no,atarás,el,perro.,Ahora no atarás el barco.,b,l
+,Ahora,no,atarás,las,sandalias.,-,-,l
+,Ahora,no,atarás,los ,cordones.,-,-,l
+,Ahora,sí,cortarás,el,pan.,Ahora sí cortarás el pan.,v,b
+,Ahora,sí,cortarás,el,pastel.,Ahora no cortarás el pastel.,b,b
+,Ahora,sí,cortarás,el,tomate.,-,-,b
+,Ahora,sí,cortarás,la,lechuga.,-,-,b
+,Ahora,sí,cortarás,la,cinta.,-,-,b
+,Ahora,sí,doblarás,los ,calcetines.,Ahora sí doblarás los  calcetines.,v,b
+,Ahora,sí,doblarás,el ,folio.,-,-,b
+,Ahora,sí,doblarás,el,billete.,-,-,b
+,Ahora,sí,limpiarás,la,baranda.,Ahora sí limpiarás la baranda.,v,b
+,Ahora,sí,limpiarás,el,espejo.,-,-,b
+,Ahora,sí,limpiarás,las,copas.,-,-,b
+,Ahora,sí,pelarás,los ,ajos.,Ahora sí venderás los ajos.,b,b
+,Ahora,sí,pelarás,la,pera.,-,-,b
+,Ahora,sí,pelarás,la,mandarina.,-,-,b
+,Ahora,sí,plancharás,las,bermudas.,Ahora sí plancharás las bermudas.,v,b
+,Ahora,sí,plancharás,el,pañuelo.,Ahora sí plancharás el albornoz.,b,b
+,Ahora,sí,plancharás,la,camisa.,-,-,b
+,Ahora,sí,regarás,el,rosal.,Ahora sí regarás el rosal.,v,b
+,Ahora,sí,regarás,la,huerta.,Ahora no regarás la huerta.,b,b
+,Ahora,sí,regarás,el,geranio.,-,-,b
+,Ahora,sí,regarás,las,plantas.,-,-,b
+,Ahora,sí,regarás,la,orquídea.,-,-,b
+,Ahora,sí,servirás,el,caldo.,Ahora sí servirás el asado.,b,b
+,Ahora,sí,servirás,el,puchero.,-,-,b
+,Ahora,sí,servirás,el,pescado.,-,-,b
+,Ahora,no,abrirás,la,gaveta.,Ahora no abrirás la gaveta.,v,b
+,Ahora,no,abrirás,la,nevera.,Ahora sí abrirás la nevera.,b,b
+,Ahora,no,abrirás,la,ventana.,-,-,b
+,Ahora,no,abrirás,el,equipaje.,-,-,b
+,Ahora,no,abrirás,la,hucha.,-,-,b
+,Ahora,no,abrirás,el,depósito.,-,-,b
+,Ahora,no,cerrarás,la,olla.,Ahora no cerrarás la olla.,v,b
+,Ahora,no,cerrarás,el,baúl.,-,-,b
+,Ahora,no,cerrarás,el,estuche.,-,-,b
+,Ahora,no,guardarás,la,mochila.,Ahora no guardarás la mochila.,v,b
+,Ahora,no,guardarás,la,fotografía.,Ahora no tirarás la fotografía.,b,b
+,Ahora,no,guardarás,el,lápiz.,-,-,b
+,Ahora,no,guardarás,las,lentillas.,-,-,b
+,Ahora,no,guardarás,el,sello.,-,-,b
+,Ahora,no,copiarás,la,viñeta.,Ahora no copiarás la viñeta.,v,b
+,Ahora,no,copiarás,una,espiral.,Ahora no copiarás una flecha.,b,b
+,Ahora,no,copiarás,la,dirección.,-,-,b
+,Ahora,no,copiarás,el,poema.,-,-,b
+,Ahora,no,apretarás,el,bombillo.,Ahora no apretarás el bombillo.,v,b
+,Ahora,no,apretarás,el,botón.,Ahora sí apretarás el botón.,b,b
+,Ahora,no,apretarás,el,vendaje.,-,-,b
+,Ahora,no,agarrarás,las,tijeras.,Ahora no afilarás las tijeras.,b,b
+,Ahora,no,agarrarás,el,monedero.,-,-,b
+,Ahora,no,agarrarás,el,casco.,-,-,b
+,Ahora,no,atarás,la,cometa.,-,-,b
