denesando,nWnMS,2510,-,-
ideando,WnMS,2050,-,-
pegando,WMS,1052,Pregunta,Si
fancando,nWnMS,2513,-,-
decayendo,WnMS,2028,-,-
comenzando,WnMS,2020,-,-
avotando,nWnMS,2505,-,-
eligiendo,WnMS,2036,-,-
tramando,WnMS,2088,-,-
confiando,WnMS,2022,-,-
tapando,WMS,1078,-,-
notando,WnMS,2063,-,-
lustrando,WMS,1046,-,-
soñando,WnMS,2080,Pregunta,No
gimiendo,WMS,1038,-,-
mejorando,WnMS,2062,-,-
prernando,nWMS,1523,-,-
heredando,WnMS,2049,-,-
venciendo,WnMS,2097,-,-
omnadando,nWnMS,2519,-,-
logrando,WnMS,2060,-,-
vetando,WnMS,2099,-,-
anuendo,nWMS,1503,-,-
ilombrando,nWMS,1516,-,-
borrando,WMS,1012,Pregunta,Si
mordiendo,WMS,1050,-,-
decopiendo,nWMS,1510,-,-
dividiendo,WnMS,2033,-,-
conuendo,nWMS,1507,-,-
sobando,WMS,1069,-,-
golpeando,WMS,1040,-,-
añorando,WnMS,2013,-,-
tomando,WMS,1083,Pregunta,Si
ayunando,WnMS,2018,-,-
dariendo,nWnMS,2509,-,-
midiendo,WMS,1049,-,-
gucando,nWnMS,2515,-,-
enfermando,WnMS,2038,-,-
reclinando,WMS,1061,-,-
nirando,nWMS,1520,-,-
clicurando,nWMS,1506,-,-
triunfando,WnMS,2090,Pregunta,No
recogiendo,WMS,1062,-,-
amainando,WnMS,2008,-,-
rapiando,nWnMS,2522,-,-
asintiendo,WMS,1008,-,-
poniendo,WMS,1054,-,-
queriendo,WnMS,2073,-,-
taladrando,WMS,1076,-,-
aplaudiendo,WMS,1004,Pregunta,Si
existiendo,WnMS,2042,-,-
alzando,WMS,1003,-,-
firmando,WMS,1036,-,-
valorando,WnMS,2095,-,-
pensando,WnMS,2068,-,-
acogiendo,WnMS,2000,-,-
soldando,WMS,1070,-,-
amando,WnMS,2009,-,-
braceando,WMS,1014,-,-
rasgando,WMS,1058,-,-
tariendo,nWMS,1526,-,-
creyendo,WnMS,2026,-,-
sonriendo,WMS,1071,-,-
zurciendo,WMS,1098,Pregunta,Si
hovando,nWnMS,2516,-,-
girando,WMS,1039,-,-
terminando,WnMS,2086,-,-
zurrando,WMS,1099,-,-
catando,WMS,1016,-,-
sarcando,nWnMS,2525,-,-
gruñiendo,WMS,1041,-,-
trirriando,nWMS,1528,-,-
atrayendo,WnMS,2017,Pregunta,No
tuvenando,nWMS,1529,-,-
rociando,WMS,1066,-,-
allistando,nWnMS,2502,-,-
saliendo,WMS,1067,-,-
acostando,nWMS,1501,-,-
chirriando,WMS,1020,-,-
zapateando,WMS,1097,-,-
afeando,WnMS,2005,-,-
conduciendo,WMS,1023,-,-
intuyendo,WnMS,2055,-,-
subrayando,WMS,1072,-,-
sumando,WnMS,2081,-,-
tensando,WMS,1080,Pregunta,Si
campiando,nWnMS,2506,-,-
urgiendo,WnMS,2093,-,-
desfilando,WMS,1027,Pregunta,Si
velando,WnMS,2096,-,-
entendiendo,WnMS,2040,-,-
acaando,nWnMS,2500,-,-
asumiendo,WnMS,2016,-,-
echando,WMS,1029,-,-
pecando,WnMS,2067,-,-
hilando,WMS,1042,Pregunta,Si
deseando,WnMS,2030,-,-
exigiendo,WnMS,2041,-,-
llamando,WMS,1045,-,-
cumpliendo,WnMS,2027,Pregunta,No
timando,WnMS,2087,-,-
adivinando,WnMS,2001,-,-
