colouring,WME,3011
delighting,WnME,4007
indicating,WME,3029
lyming,nWME,3514
trimming,WME,3079
inducing,WnME,4038
inviting,WnME,4042
impressing,WnME,4037
cheening,nWnME,4502
dividing,WnME,4018
implying,WnME,4036
iceting,nWME,3510
fastening,WME,3022
intubating,WME,3033
imagining,WnME,4034
sweetening,WnME,4088
focusing,WnME,4024
rewriting,WME,3051
restarting,WnME,4078
thanking,WnME,4091
crushing,WME,3017
groaning,WME,3027
realizing,WnME,4067
surfing,WME,3072
measuring,WME,3040
idolizing,WnME,4033
developing,WnME,4012
taming,WnME,4089
adjusting,WME,3000
sneezing,WME,3062
juggling,WME,3035
identifying,WnME,4032
convulsing,WME,3015
splashing,WME,3065
tealing,nWnME,4527
trassing,nWME,3524
writhing,WME,3099
griering,nWME,3509
premoling,nWnME,4518
velfing,nWME,3501
reminding,WnME,4075
prompting,WnME,4061
striving,WnME,4085
unrolling,WME,3089
gaining,WnME,4027
pruning,WME,3048
impairing,WnME,4035
multiplying,WnME,4047
udanating,nWME,3526
reclining,WME,3050
dissenting,WnME,4017
greasing,WME,3025
detecting,WnME,4011
sliding,WME,3060
undressing,WME,3083
plarpering,nWME,3517
assaulting,WME,3004
connecting,WME,3012
ironing,WME,3034
restoring,WnME,4079
withering,WnME,4097
smearing,WME,3061
tossing,WME,3077
learning,WnME,4044
desisting,WnME,4010
sharpening,WME,3055
rirtaging,nWME,3519
fighting,WME,3028
tempting,WnME,4090
varnishing,WME,3091
planting,WME,3043
exclaiming,WME,3020
jolding,nWME,3511
sparing,WnME,4083
motivating,WnME,4046
utsching,nWnME,4529
scrubbing,WME,3054
pecearing,nWME,3515
inspecting,WnME,4039
laminating,WME,3039
straining,WME,3069
wheezing,WME,3093
